price,opp,rooms,opp_rooms,city,address
407.00,133 m²,3 slpk.,,9000 Gent,Henri Dunantlaan 150 | 9000 - Gent
464.75,116 m²,2 slpk.,,9000 Gent,Doornzelestraat 23 | 9000 - Gent
583.00,104 m²,2 slpk.,,9000 Gent,Wispelbergstraat 3 001 | 9000 - Gent
1.050.,280 m²,3 slpk.,,9000 Gent,Molenaarsstraat 111 | 9000 - Gent
320.00,63 m²,1 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
418.00,103 m²,3 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
435.00,100 m²,3 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
311.50,90 m²,2 slpk.,,9000 Gent,Stapelplein 80 bus 2.8 | 9000 - Gent
319.00,98 m²,3 slpk.,,9000 Gent,Stapelplein 80 bus 2.8 | 9000 - Gent
325.00,98 m²,3 slpk.,,9000 Gent,Stapelplein 80 bus 2.8 | 9000 - Gent
329.00,98 m²,3 slpk.,,9000 Gent,Stapelplein 80 bus 2.8 | 9000 - Gent
425.00,116 m²,3 slpk.,,9000 Gent,Stapelplein 80 bus 2.8 | 9000 - Gent
427.50,116 m²,3 slpk.,,9000 Gent,Stapelplein 80 bus 2.8 | 9000 - Gent
430.00,116 m²,3 slpk.,,9000 Gent,Stapelplein 80 bus 2.8 | 9000 - Gent
430.00,116 m²,3 slpk.,,9000 Gent,Stapelplein 80 bus 2.8 | 9000 - Gent
432.50,116 m²,3 slpk.,,9000 Gent,Stapelplein 80 bus 2.8 | 9000 - Gent
432.50,116 m²,3 slpk.,,9000 Gent,Stapelplein 80 bus 2.8 | 9000 - Gent
435.00,116 m²,3 slpk.,,9000 Gent,Stapelplein 80 bus 2.8 | 9000 - Gent
435.00,116 m²,3 slpk.,,9000 Gent,Stapelplein 80 bus 2.8 | 9000 - Gent
437.50,116 m²,3 slpk.,,9000 Gent,Stapelplein 80 bus 2.8 | 9000 - Gent
440.00,116 m²,3 slpk.,,9000 Gent,Stapelplein 80 bus 2.8 | 9000 - Gent
365.00,98 m²,2 slpk.,,9000 Gent,Blaisantvest 82 | 9000 - Gent
397.00,92 m²,2 slpk.,,9000 Gent,Henegouwenstraat 9 | 9000 - Gent
645.00,143 m²,2 slpk.,,9000 Gent,Zonnestraat 7 | 9000 - Gent
677.00,6 slpk.,,6 slpk.,9000 Gent,Lieven de Winnestraat 60 | 9000 - Gent
1.099.,450 m²,6 slpk.,,9000 Gent,DAMPOORTSTRAAT 81 | 9000 - Gent
van 4,112 - 136 m²,3 slpk.,,9000 Gent,Henri Dunantlaan | 9000 - Gent
175.00,80 m²,2 slpk.,,9000 Gent,Rooigemlaan 6B2 | 9000 - Gent
453.00,138 m²,3 slpk.,,9000 Gent,Henri Dunantlaan | 9000 - Gent
565.00,269 m²,2 slpk.,,9000 Gent,Casinoplein 11 | 9000 - Gent
665.00,211 m²,2 slpk.,,9000 Gent,Casinoplein 11 | 9000 - Gent
294.00,65 m²,1 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
386.00,85 m²,2 slpk.,,9000 Gent,Prinses Clementinalaan 17 | 9000 - Gent
375.43,117 m²,3 slpk.,,9000 Gent,Frans van Ryhovelaan | 9000 - Gent
375.00,93 m²,2 slpk.,,9000 Gent,Academiestraat 1201 | 9000 - Gent
735.00,143 m²,3 slpk.,,9000 Gent,Academiestraat 1101 | 9000 - Gent
325.00,82 m²,2 slpk.,,9000 Gent,Sint-Michielsstraat 13 bus 207 | 9000 - Gent
325.00,130 m²,4 slpk.,,9000 Gent,Martelaarslaan 216 | 9000 - Gent
410.00,137 m²,,137 m²,9000 Gent,Meerseniersstraat 18 bus 102 | 9000 - Gent
575.00,185 m²,3 slpk.,,9000 Gent,Handbalstraat 29 | 9000 - Gent
1.349.,313 m²,3 slpk.,,9000 Gent,Gasmeterlaan 125 | 9000 - Gent
175.00,1 slpk.,,1 slpk.,9000 Gent,Ketelvest 33 | 9000 - Gent
385.00,65 m²,1 slpk.,,9000 Gent,Sint-Michielsstraat 4 | 9000 - Gent
